n,k,inst,alg,J,gap_bp,sharpe_train,sharpe_test,runtime_s
30,8,1,greedy,0.00010285037102559201,0.0,0.9956979689557864,0.47439124743748445,0.0011545999441295862
30,8,1,lasso,-0.0002520504662164852,3.549008372420772,0.7931875078241084,0.32417717232021276,0.014703899971209466
30,8,1,SA-1ch-10k,0.00010285037102559201,0.0,0.9956979689557864,0.47439124743748445,0.07335570000577718
30,8,2,oracle,0.00017512741757874076,0.0,1.1014104379454697,0.5052274132047533,3.5117179000517353
30,8,2,top-eig,-0.0009874700967520097,11.625975143307503,0.5415356981677099,0.2133875498988599,0.0001799999736249447
30,8,2,greedy,0.00017512741757874076,0.0,1.1014104379454697,0.5052274132047533,0.0011542000574991107
30,8,2,lasso,-0.00032181146325863965,4.969388808373804,0.6466983431609407,0.4414635995036361,0.019588900031521916
30,8,2,SA-1ch-10k,0.00017512741757874076,0.0,1.1014104379454697,0.5052274132047533,0.07401799992658198
30,8,3,oracle,5.7437894557341314e-05,0.0,1.0441506353582954,-0.22113082574281667,3.5175951999844983
30,8,3,top-eig,-0.0007290499838985734,7.864878784559147,0.8490941056340108,0.813732120379006,0.00020970008336007595
30,8,3,greedy,5.087919045804754e-05,0.06558704099293776,0.9823984039951712,0.8816471591331876,0.0012299000518396497
30,8,3,lasso,-0.00019680223773315005,2.542401322904914,0.89680068370944,0.49771680671286195,0.008657099911943078
30,8,3,SA-1ch-10k,5.7437894557341314e-05,0.0,1.0441506353582954,-0.22113082574281667,0.07577590004075319
30,8,4,oracle,8.662735353926864e-05,0.0,0.9912066027389699,0.9789635404959953,3.4501287000020966
30,8,4,top-eig,-0.0013658372587028607,14.524646122421295,0.30534626128783476,0.9694245774047043,0.00017579994164407253
30,8,4,greedy,8.662735353926864e-05,0.0,0.9912066027389699,0.9789635404959953,0.001213099923916161
30,8,4,lasso,-0.00042792651717763765,5.145538707169063,0.7373153286397823,0.36951343179902896,0.02144339994993061
30,8,4,SA-1ch-10k,8.662735353926864e-05,0.0,0.9912066027389699,0.9789635404959953,0.07570829999167472
40,5,0,oracle,0.00013310766311725006,0.0,1.0093964787614775,1.2670137258480383,0.22951089998241514
40,5,0,top-eig,-0.0023504221226289482,24.83529785746198,0.19899201714443032,0.6435456661042009,0.0002337999176234007
40,5,0,greedy,0.00013310766311725006,0.0,1.0093964787614775,1.2670137258480383,0.0010757000418379903
40,5,0,lasso,-0.0008735525773718327,10.066602404890828,0.6163049264416238,0.7200011009160201,0.016883800039067864
40,5,0,SA-1ch-10k,0.00013310766311725006,0.0,1.0093964787614775,1.2670137258480383,0.0728245999198407
